bp_pos,sample,normalized_fluorescent_units,stage,species,system,timepoint,treatment,line
754.0540540540541,B1: T0_V6.5suclG4-Muh,0.5318965345589914,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
762.1621621621622,B1: T0_V6.5suclG4-Muh,0.5472921480616949,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
770.2702702702703,B1: T0_V6.5suclG4-Muh,0.5629305780808823,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
778.3783783783783,B1: T0_V6.5suclG4-Muh,0.5778691795088342,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
786.4864864864865,B1: T0_V6.5suclG4-Muh,0.5977385873082792,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
794.5945945945946,B1: T0_V6.5suclG4-Muh,0.6212837878490245,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
802.7027027027027,B1: T0_V6.5suclG4-Muh,0.6483305933638585,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
810.8108108108108,B1: T0_V6.5suclG4-Muh,0.6685945395335602,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
818.918918918919,B1: T0_V6.5suclG4-Muh,0.6853771923769401,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
827.0270270270271,B1: T0_V6.5suclG4-Muh,0.6949615203526865,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
835.1351351351352,B1: T0_V6.5suclG4-Muh,0.6964245744963689,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
843.2432432432432,B1: T0_V6.5suclG4-Muh,0.6975001685712888,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
851.3513513513514,B1: T0_V6.5suclG4-Muh,0.7008174299542824,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
859.4594594594595,B1: T0_V6.5suclG4-Muh,0.7045553886478386,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
867.5675675675676,B1: T0_V6.5suclG4-Muh,0.7039478857282699,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
875.6756756756756,B1: T0_V6.5suclG4-Muh,0.6967126305919698,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
883.7837837837837,B1: T0_V6.5suclG4-Muh,0.6936597283821825,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
891.8918918918919,B1: T0_V6.5suclG4-Muh,0.6823679909850752,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
900.0,B1: T0_V6.5suclG4-Muh,0.6717388441582978,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
911.5384615384615,B1: T0_V6.5suclG4-Muh,0.6676826696497296,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
923.0769230769232,B1: T0_V6.5suclG4-Muh,0.6681633786468756,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
934.6153846153846,B1: T0_V6.5suclG4-Muh,0.6776993895211163,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
946.1538461538462,B1: T0_V6.5suclG4-Muh,0.6934901568985542,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
957.6923076923076,B1: T0_V6.5suclG4-Muh,0.7137227123398893,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
969.2307692307692,B1: T0_V6.5suclG4-Muh,0.7345073752977926,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
980.7692307692308,B1: T0_V6.5suclG4-Muh,0.751721804532335,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
992.3076923076924,B1: T0_V6.5suclG4-Muh,0.7726520342992332,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
1003.8461538461538,B1: T0_V6.5suclG4-Muh,0.7895617888172746,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
1015.3846153846154,B1: T0_V6.5suclG4-Muh,0.8042609590033702,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
1026.923076923077,B1: T0_V6.5suclG4-Muh,0.8190472230730718,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
1038.4615384615386,B1: T0_V6.5suclG4-Muh,0.8287047960816739,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
1050.0,B1: T0_V6.5suclG4-Muh,0.8358175658268959,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
1061.5384615384614,B1: T0_V6.5suclG4-Muh,0.8392216133412566,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
